gene_symbol,present_in_gse163634
AC008278.2,True
AC008280.3,True
AC008378.1,False
AC008392.1,False
AC008393.1,False
AC008397.1,True
AC008397.2,False
AC008403.2,False
AC008403.3,False
AC008406.1,False
AC008406.2,False
AC008406.3,False
AC008415.1,False
AC008429.1,False
AC008429.3,False
AC008434.1,False
AC008438.1,False
AC008438.2,False
AC008440.1,False
AC008440.2,False
AC008440.3,False
AC008443.2,False
AC008443.3,False
AC008443.5,False
AC008443.6,False
AC008448.1,False
AC008453.1,False
AC008456.1,False
AC008467.1,False
AC008474.1,False
AC008494.2,False
AC008494.3,False
AC008496.2,False
AC008507.2,False
AC008514.1,False
AC008522.1,False
AC008525.1,False
AC008534.1,False
AC008537.1,False
AC008537.2,False
AC008537.4,False
AC008539.1,False
AC008543.1,False
AC008543.4,False
AC008543.5,False
AC008549.2,False
AC008551.1,False
AC008554.1,False
AC008555.1,True
AC008555.2,False
AC008555.3,False
AC008555.5,False
AC008556.1,False
AC008568.1,False
AC008569.1,False
AC008575.1,False
AC008581.1,True
AC008581.2,False
AC008592.2,False
AC008592.4,True
AC008592.5,True
AC008608.2,False
AC008609.1,False
AC008610.1,False
AC008622.2,False
AC008629.1,False
AC008632.1,False
AC008635.1,False
AC008637.1,False
AC008641.1,False
AC008649.1,False
AC008649.2,False
AC008655.1,False
AC008655.2,False
AC008662.1,False
AC008663.1,False
AC008663.2,False
AC008663.3,False
AC008667.1,False
AC008667.2,False
AC008667.4,False
AC008676.1,False
AC008680.1,False
AC008686.1,True
AC008687.4,False
AC008691.1,True
AC008695.1,False
AC008700.1,False
AC008708.2,False
AC008731.1,False
AC008734.1,False
AC008735.2,False
AC008735.3,False
AC008735.4,False
AC008736.1,False
AC008736.2,False
AC008738.2,True
AC008738.3,False
AC008738.5,False
AC008738.6,False
AC008739.1,False
AC008741.2,False
AC008742.1,False
AC008747.1,True
AC008750.1,False
AC008750.2,False
AC008750.4,False
AC008750.7,False
AC008750.8,False
AC008752.1,True
AC008752.2,True
AC008753.2,False
AC008753.3,True
AC008758.2,False
AC008758.4,False
AC008758.6,False
AC008759.2,False
AC008759.3,False
AC008760.1,False
AC008761.1,False
AC008761.2,False
AC008763.1,False
AC008763.2,False
AC008763.3,False
AC008764.1,False
AC008764.2,False
AC008764.3,False
