axis,gene,coefficient
pc1,AGPAT5,-0.0003173171254443878
pc1,AGPS,-0.00021321476374812167
pc1,AGR2,0.001919266180507532
pc1,AGR3,-1.2430191942928912e-05
pc1,AGRP,-0.0005627590227950904
pc1,AGTPBP1,-0.0006984898640204666
pc1,AGTR1,2.1329341876561735e-06
pc1,AGTRAP,-0.00025304244280500944
pc1,AGXT,3.069010874500555e-05
pc1,AGXT2,9.315129750474675e-06
pc1,AHCTF1,-0.0003157686752755005
pc1,AHCYL1,0.00016051292666422048
pc1,AHCYL2,-0.00016660484634632144
pc1,AHDC1,0.0005682481957761427
pc1,AHI1,-0.00014821573830877622
pc1,AHNAK,-5.8949158049765144e-05
pc1,AHNAK2,-0.0001998191129510833
pc1,AHR,-0.0006196580557382396
pc1,AHSA1,-8.031371091573905e-05
pc1,AHSG,9.188661756013464e-06
pc1,AHSP,0.0029262746440763873
pc1,AICDA,2.1492705793730487e-05
pc1,AIDA,0.0001066952832734663
pc1,AIF1,0.0008652071235443561
pc1,AIF1L,4.174345966920442e-05
pc1,AIFM1,-0.00018761496968857757
pc1,AIFM2,1.3732461507433428e-05
pc1,AIG1,0.0010617296365860885
pc1,AIM2,-0.0001500149459678347
pc1,AIMP1,-6.43778134261319e-05
pc1,AIMP2,-0.0002659629028580528
pc1,AIP,-0.0002217312720750738
pc1,AIPL1,-1.4817713104455423e-05
pc1,AIRE,-0.0001657957485304634
pc1,AIRN,-5.5925326556898375e-05
pc1,AJAP1,1.6254861076671765e-05
pc1,AK2,0.00025109656494349815
pc1,AK3,-1.4975833385596676e-05
pc1,AK4,0.00024391882185980924
pc1,AK5,0.0006761211010681413
pc1,AK7,6.151141124734003e-05
pc1,AK8,-4.625934065222929e-05
pc1,AK9,6.388639732419234e-05
pc1,AKAP1,-0.00025066599697579284
pc1,AKAP10,6.600407099725644e-05
pc1,AKAP11,2.7209826693132217e-05
pc1,AKAP12,-8.462747089354534e-06
pc1,AKAP13,-2.9611089408549586e-05
pc1,AKAP14,1.460299094576237e-05
pc1,AKAP17A,-0.00023826587240947995
pc1,AKAP3,-4.35158324535431e-05
pc1,AKAP4,-4.141362987661262e-06
pc1,AKAP5,-0.00022262110685023924
pc1,AKAP6,5.8072012045276617e-05
pc1,AKAP7,0.00047641615716990444
pc1,AKAP8,-0.0002093136778270904
pc1,AKAP8L,-0.00013653832247979765
pc1,AKAP9,-0.00013408222683448487
pc1,AKIP1,-0.00014087885238545463
pc1,AKIRIN1,-0.000489398079425444
pc1,AKIRIN2,-0.0004573770467269904
pc1,AKNA,0.00027613711899821924
pc1,AKR1A1,2.1316905626868816e-05
pc1,AKR1B1,-0.00047818549650384195
pc1,AKR1B10,-5.296019617124213e-06
pc1,AKR1B15,-5.9084223652734635e-06
pc1,AKR1C1,-0.00025266968141281654
pc1,AKR1C2,-0.00039186653793085805
pc1,AKR1C4,7.519383271852607e-06
pc1,AKR1D1,2.1178649730415203e-06
pc1,AKR1E2,-0.00011410753611360449
pc1,AKR7A2,3.242359279054321e-05
pc1,AKR7A3,-0.0002684501059004916
pc1,AKT1,-0.0002056920822273568
pc1,AKT1S1,-0.0002692678057766209
pc1,AKT2,0.00014686027473766113
pc1,AKTIP,-0.00015589533070833203
pc1,ALAD,0.00012425449711439562
pc1,ALAS1,0.00036216818627632906
pc1,ALAS2,0.002169652016454355
pc1,ALB,4.558959888952682e-05
