axis,gene,coefficient
ilr_stem_vs_committed,AC007773.1,0.00023293353269174605
ilr_stem_vs_committed,AC007879.1,0.0
ilr_stem_vs_committed,AC007879.4,1.7213687841433385e-06
ilr_stem_vs_committed,AC007881.2,-1.2546659873774452e-05
ilr_stem_vs_committed,AC007950.1,2.173399134160901e-06
ilr_stem_vs_committed,AC007952.4,0.0001416070038003172
ilr_stem_vs_committed,AC007952.5,0.00014623634592842317
ilr_stem_vs_committed,AC007952.6,-0.00019254714641112118
ilr_stem_vs_committed,AC007966.1,-2.921277870825658e-05
ilr_stem_vs_committed,AC008063.2,0.0
ilr_stem_vs_committed,AC008074.3,0.0005606104938575566
ilr_stem_vs_committed,AC008147.1,5.9999322453195526e-05
ilr_stem_vs_committed,AC008268.1,0.0
ilr_stem_vs_committed,AC008269.2,0.0
ilr_stem_vs_committed,AC008277.1,4.4928910262427775e-06
ilr_stem_vs_committed,AC008278.2,6.008265306810887e-06
ilr_stem_vs_committed,AC008280.3,0.00028621797678929774
ilr_stem_vs_committed,AC008397.1,1.457305918957184e-05
ilr_stem_vs_committed,AC008555.1,1.3216255440676046e-06
ilr_stem_vs_committed,AC008581.1,-1.5206010101523704e-05
ilr_stem_vs_committed,AC008592.4,-8.40073104792709e-06
ilr_stem_vs_committed,AC008592.5,-4.835964485129061e-05
ilr_stem_vs_committed,AC008686.1,3.3885998399960726e-05
ilr_stem_vs_committed,AC008691.1,0.00024785367229734467
ilr_stem_vs_committed,AC008738.2,6.641172972173139e-05
ilr_stem_vs_committed,AC008747.1,-1.2804366538655593e-05
ilr_stem_vs_committed,AC008752.1,-1.8031520102593716e-06
ilr_stem_vs_committed,AC008752.2,0.0003885456177975357
ilr_stem_vs_committed,AC008753.3,-7.110251041480886e-05
ilr_stem_vs_committed,AC008914.1,-0.0001701761933533342
ilr_stem_vs_committed,AC008937.2,9.076410608707477e-05
ilr_stem_vs_committed,AC008937.3,1.560138343055334e-05
ilr_stem_vs_committed,AC008938.1,0.0
ilr_stem_vs_committed,AC009035.1,-1.692212091166274e-05
ilr_stem_vs_committed,AC009041.2,0.0002016337279242917
ilr_stem_vs_committed,AC009060.1,0.0001309431875318816
ilr_stem_vs_committed,AC009065.1,-3.625882979147338e-05
ilr_stem_vs_committed,AC009065.3,-4.4808522674695275e-05
ilr_stem_vs_committed,AC009093.1,8.989079983998059e-06
ilr_stem_vs_committed,AC009120.3,-9.663264966511624e-06
ilr_stem_vs_committed,AC009120.4,0.00025554634624566094
ilr_stem_vs_committed,AC009120.5,0.00026414661366735694
ilr_stem_vs_committed,AC009121.1,1.5432199407451117e-05
ilr_stem_vs_committed,AC009158.1,0.0
ilr_stem_vs_committed,AC009159.1,1.221581971269303e-05
ilr_stem_vs_committed,AC009228.1,3.341393349910587e-05
ilr_stem_vs_committed,AC009299.3,5.454129923631708e-06
ilr_stem_vs_committed,AC009303.3,2.5131245569247675e-06
ilr_stem_vs_committed,AC009312.1,6.1604122502829654e-06
ilr_stem_vs_committed,AC009313.1,-2.2294064253700946e-05
ilr_stem_vs_committed,AC009365.3,0.0
ilr_stem_vs_committed,AC009478.1,0.0
ilr_stem_vs_committed,AC009480.1,-3.405006411859726e-05
ilr_stem_vs_committed,AC009495.1,3.338750071039585e-05
ilr_stem_vs_committed,AC009495.2,9.194653619130966e-05
ilr_stem_vs_committed,AC009495.3,-0.0005135357122141712
ilr_stem_vs_committed,AC009502.1,-1.2955414274165005e-05
ilr_stem_vs_committed,AC009506.1,0.0003122770717777205
ilr_stem_vs_committed,AC009802.1,5.953148104900757e-05
ilr_stem_vs_committed,AC009831.1,0.00047775365553509705
ilr_stem_vs_committed,AC009951.2,-2.4120666907550007e-05
ilr_stem_vs_committed,AC009970.1,0.0
ilr_stem_vs_committed,AC010096.1,-1.4775341728921232e-06
ilr_stem_vs_committed,AC010139.1,0.0
ilr_stem_vs_committed,AC010207.1,-5.123766459693087e-06
ilr_stem_vs_committed,AC010235.1,-1.660009176457555e-05
ilr_stem_vs_committed,AC010240.3,-5.186665342019899e-05
ilr_stem_vs_committed,AC010323.1,-1.535461635278694e-06
ilr_stem_vs_committed,AC010327.1,9.094898004781528e-07
ilr_stem_vs_committed,AC010329.1,2.3185733639364613e-05
ilr_stem_vs_committed,AC010336.1,7.94118971307518e-05
ilr_stem_vs_committed,AC010468.2,0.0
ilr_stem_vs_committed,AC010522.1,5.24867994200772e-06
ilr_stem_vs_committed,AC010536.1,-4.933664046419296e-05
