leiden,rank,gene,score,logfoldchange,pvals_adj
16,14,FAU,36.417259216308594,1.7193307876586914,5.437351344808211e-287
16,15,CD83,35.92675018310547,5.000244140625,2.611368448109591e-279
16,16,IGHM,35.78390884399414,6.171070575714111,4.1195820695220786e-277
16,17,RPL12,35.03610610961914,1.7869093418121338,1.252279487282076e-265
16,18,HLA-DQA1,34.97897720336914,6.797677040100098,8.751958554893581e-265
16,19,RPL8,34.68611526489258,1.8797045946121216,2.252185164135674e-260
16,20,RPL39,34.395023345947266,1.944076657295227,5.018248206731562e-256
17,1,CD74,41.99761199951172,5.723598957061768,0.0
17,2,HLA-DRA,35.789920806884766,4.762204170227051,2.6573435252932923e-276
17,3,HLA-DPA1,35.05523681640625,4.439727783203125,3.627516969682342e-265
17,4,HLA-DPB1,34.54930114746094,4.354363441467285,1.2243795736391683e-257
17,5,HLA-DRB1,32.005741119384766,3.8614957332611084,6.085172849087377e-221
17,6,HLA-DMA,28.38731575012207,3.5805234909057617,1.3894864905860017e-173
17,7,HLA-DQB1,25.886335372924805,3.0774264335632324,3.183339414202392e-144
17,8,TCF4,25.295024871826172,3.9586668014526367,1.1047149007493196e-137
17,9,NPC2,24.659271240234375,2.4209020137786865,8.180739862770696e-131
17,10,ITM2C,24.072673797607422,2.15226411819458,1.2468731924776823e-124
17,11,VAMP8,22.923519134521484,1.9852148294448853,6.054350362181818e-113
17,12,MEF2C,22.672365188598633,2.9900708198547363,1.7599184864448755e-110
17,13,IGHM,22.631019592285156,3.9390676021575928,4.233315408712017e-110
17,14,ERP29,22.625064849853516,1.6390042304992676,4.576166752874055e-110
17,15,RPL37,22.396095275878906,1.3809821605682373,7.583395865425086e-108
17,16,RPLP1,22.142000198364258,1.4739267826080322,2.0891782091226837e-105
17,17,RPS3A,21.503625869750977,1.3124938011169434,2.1950408571019024e-99
17,18,RPL39,21.149484634399414,1.4018406867980957,4.067860211220195e-96
17,19,UBE2J1,21.123462677001953,1.7572300434112549,6.765289313960803e-96
17,20,RPS6,20.939451217651367,1.3550070524215698,3.020204566999135e-94
18,1,TFDP2,38.59537887573242,3.913102388381958,0.0
18,2,MT-ND4,37.832000732421875,3.221026659011841,0.0
18,3,MT-ATP6,36.53648376464844,3.1684443950653076,3.2677488982888607e-288
18,4,XIST,35.59066390991211,4.422365665435791,1.638091214212654e-273
18,5,MT-ND3,35.563743591308594,3.107076406478882,3.417278630716679e-273
18,6,MT-ND2,32.71391677856445,2.584402561187744,5.535021133301977e-231
18,7,RTKN2,32.06142044067383,4.770090103149414,7.290981247961077e-222
18,8,AL365440.2,32.02012252807617,5.720240116119385,2.3990584295691333e-221
18,9,TRBC2,30.936410903930664,3.4463210105895996,1.2980083205536046e-206
18,10,SMPD3,29.957387924194336,5.330100059509277,1.0749088721455876e-193
18,11,CD1E,29.71005630493164,3.7014849185943604,1.591331296794762e-190
18,12,POLR2J3-1,29.204206466674805,3.3588128089904785,4.423911025025835e-184
18,13,CD1A,28.677873611450195,5.043780326843262,1.725665375354521e-177
18,14,CCDC26,28.356689453125,3.6572322845458984,1.5477318093885863e-173
18,15,GABPB1-AS1,27.414644241333008,2.7984163761138916,3.4188333372558747e-162
18,16,CD2,27.378305435180664,3.29736328125,8.776852877154957e-162
18,17,AC245060.5,27.002296447753906,3.0405194759368896,2.218128708180534e-157
18,18,AL138899.1,26.6398868560791,4.01244592666626,3.573374201192544e-153
18,19,GNAS,26.267169952392578,2.0757498741149902,6.635693507565173e-149
18,20,AKAP12,25.3143253326416,6.712453365325928,2.9803950445468766e-138
19,1,CST3,42.349761962890625,7.557458877563477,0.0
19,2,TYROBP,41.34840393066406,7.595582962036133,0.0
19,3,LYZ,40.98641586303711,8.96136474609375,0.0
19,4,S100A6,40.84093475341797,5.097951889038086,0.0
19,5,S100A4,40.800907135009766,5.357911109924316,0.0
19,6,FTL,40.05247116088867,3.803307056427002,0.0
19,7,S100A11,39.798072814941406,5.073863983154297,0.0
19,8,COTL1,39.535526275634766,4.862341403961182,0.0
19,9,FCER1G,39.34151840209961,6.31414794921875,0.0
19,10,LGALS1,38.928955078125,5.185537338256836,0.0
19,11,CD74,38.66899871826172,6.304303169250488,0.0
19,12,SRGN,38.62287521362305,4.479203701019287,0.0
19,13,SPI1,38.60786819458008,5.3958611488342285,0.0
19,14,S100A9,38.572914123535156,9.642951011657715,0.0
19,15,ARPC1B,37.784515380859375,3.502305269241333,0.0
19,16,CTSS,37.666709899902344,5.524727821350098,3.6533309461793904e-307
19,17,TYMP,37.60332107543945,5.939267635345459,3.7425964903153135e-306
19,18,TSPO,37.28334045410156,3.8959617614746094,5.6942191781496495e-301
19,19,OAZ1,37.246376037597656,2.7646291255950928,2.1408443088246216e-300
19,20,GRN,37.115570068359375,5.440409183502197,2.6426834481107256e-298
20,1,MALAT1,32.847938537597656,2.4220876693725586,4.0880001171221584e-232
20,2,MT-CO1,29.063697814941406,1.8303169012069702,1.732326226055907e-182
20,3,MT-CO2,26.720338821411133,1.773302674293518,1.665838600586622e-154
20,4,MT-ND4L,26.701505661010742,1.6973795890808105,2.707644083560634e-154
20,5,MT-ND5,25.038528442382812,1.6602740287780762,1.0009551568447696e-135
20,6,MT-CYB,23.93739891052246,1.4893405437469482,4.60720784458438e-124
20,7,CDK6,22.997896194458008,2.644963264465332,1.6087540918495676e-114
20,8,MT-CO3,22.90886688232422,1.407746434211731,1.2224523757241687e-113
20,9,TMEM131L,22.736270904541016,3.5545427799224854,6.207955226511085e-112
20,10,MT-ATP6,22.735485076904297,1.4409984350204468,6.261070922656938e-112
20,11,ARMH1,22.440664291381836,2.4644477367401123,4.564387560316684e-109
20,12,PGM2L1,22.002769470214844,3.1049747467041016,6.989377563308867e-105
20,13,DDX17,20.699331283569336,2.5736734867095947,7.454840650063606e-93
20,14,NEAT1,19.741167068481445,2.468191385269165,1.732080999307809e-84
20,15,EVL,18.573802947998047,1.7896778583526611,8.205931985818528e-75
20,16,MT-ATP8,17.557214736938477,1.1098175048828125,6.971504205121217e-67
20,17,MT-ND3,17.429941177368164,1.0531445741653442,6.307337953092811e-66
20,18,MBNL1,16.502092361450195,1.6652491092681885,3.7142860161662023e-59
20,19,MT-ND1,16.06279754638672,0.8919809460639954,4.587734000149098e-56
20,20,MT-ND2,15.640874862670898,0.9220511317253113,3.612153018004314e-53
21,1,FTL,35.413307189941406,4.175705432891846,3.573502963961516e-270
